Internal Reference,Name,Description,Product Category/External ID,Point of Sale Category/External ID,Product Type,Cost,Sales Price,Customer Taxes,Available in POS,Can be Purchased,Can be Sold
6204-2NSE(NACHi),NACHi 6204 - 2NSE Bearing,NACHi 6204 - 2NSE Bearing,point_of_sale.00029,__export__.pos_category_12_af2fc6fb,Storable Product,510,510,,True,True,True
6304(NACHi),NACHi 6304 Bearing,NACHi 6304 Bearing,point_of_sale.00030,__export__.pos_category_12_af2fc6fb,Storable Product,460,460,,True,True,True
6302-2NSE(NACHi),NACHi 6302 - 2NSE Bearing,NACHi 6302 - 2NSE Bearing,point_of_sale.00031,__export__.pos_category_12_af2fc6fb,Storable Product,490,490,,True,True,True
6301-2NSE9-C3(NACHi),NACHi 6301 - 2NSE9 - C3 Bearing,NACHi 6301 - 2NSE9 - C3 Bearing,point_of_sale.00032,__export__.pos_category_12_af2fc6fb,Storable Product,410,410,,True,True,True
6203-2NSE(NACHi),NACHi 6203 - 2NSE Bearing,NACHi 6203 - 2NSE Bearing,point_of_sale.00033,__export__.pos_category_12_af2fc6fb,Storable Product,420,420,,True,True,True
6003-2NSE(NACHi),NACHi 6003 - 2NSE Bearing,NACHi 6003 - 2NSE Bearing,point_of_sale.00034,__export__.pos_category_12_af2fc6fb,Storable Product,420,420,,True,True,True
6002-NSE(NACHi),NACHi 6002 - NSE Bearing,NACHi 6002 - NSE Bearing,point_of_sale.00035,__export__.pos_category_12_af2fc6fb,Storable Product,400,400,,True,True,True
6201-2NSE(NACHi),NACHi 6201 - 2NSE Bearing,NACHi 6201 - 2NSE Bearing,point_of_sale.00036,__export__.pos_category_12_af2fc6fb,Storable Product,350,350,,True,True,True
6202-2NSE(NACHi),NACHi 6202 - 2NSE Bearing,NACHi 6202 - 2NSE Bearing,point_of_sale.00037,__export__.pos_category_12_af2fc6fb,Storable Product,370,370,,True,True,True
6004-2NSE(NACHi),NACHi 6004 - 2NSE Bearing,NACHi 6004 - 2NSE Bearing,point_of_sale.00038,__export__.pos_category_12_af2fc6fb,Storable Product,470,470,,True,True,True