දිනය,ගෙවීම් ක්‍රමය,බිල්පත් අංකය,පාරිභෝගිකයා ,රිටන් බිල්පත් අංකය,Order/Order Lines/Product,Order/Order Lines/Quantity,Order/Order Lines/Discount (%),Order/Order Lines/Subtotal w/o Tax,මුදල්
2021-09-15 13:08:29,මුදල්,Order 00429-001-0007,FALSE,,[DM101139] Gasket (Gen. Cover),1,15,187,190
2021-09-15 13:06:02,මුදල්,Order 00429-001-0006,FALSE,,[39103519] Oil Seal Valve,2,15,306,5940
,,,,,[36DD4002] Kit Gasket Ct100,1,15,518.5,
,,,,,[DM101140] Gasket (Clutch),1,15,340,
,,,,,[36DU1001] Kit - O'Ring Cylinder Head,1,15,467.5,
,,,,,[36DD4008] Kit Plate Clutch  ( Dd101480 ),1,15,1453.5,
,,,,,[36311028] Valve Kit Caliber,1,15,1725.5,
,,,,,[DF121003] Pump Assy,1,15,1130.5,
2021-09-15 12:58:36,මුදල්,Order 00429-001-0005,FALSE,,[36JZ0002] Kit Blk/Pst Asly Disco H,1,0,10900,14960
,,,,,[39201719] Oil Seal Valve,2,15,340,
,,,,,[DS101036] Cam-Chain :-24-94L,1,15,1190,
,,,,,[JD511010] Gasket Head Cover,1,15,510,
,,,,,[JD521002] Gasket Cylinder Block,1,15,221,
,,,,,[JZ511016] Gasket Cylinder Head,1,15,629,
,,,,,[JA541212] Gasket Clutch Cover,1,15,272,
,,,,,[BGO20W50C] Bajaj Genuine Oil 20W 50 Can 1L,1,0,900,
2021-09-15 12:52:08,මුදල්,Order 00429-001-0004,FALSE,,[52JB0231] Cylinder Block & Piston Assly Disco Sp,1,17,7860.1,23030
,,,,,[JY551402] Clutch One Way Assly,1,17,6897.3,
,,,,,[36DK0076] Kit Starter Clutch Assembly Dk101595,1,17,4332.6,
,,,,,[36PA0042] Kit Chain Sprocket Disco M Fx,1,17,3942.5,
2021-09-15 12:50:05,මුදල්,Order 00429-001-0003,FALSE,,[36DK0076] Kit Starter Clutch Assembly Dk101595,1,17,4332.6,24000
,,,,,[52JB0231] Cylinder Block & Piston Assly Disco Sp,1,17,7860.1,
,,,,,[52JB0231] Cylinder Block & Piston Assly Disco Sp,1,17,7860.1,
,,,,,[36PA0042] Kit Chain Sprocket Disco M Fx,1,17,3942.5,
2021-09-15 12:45:43,මුදල්,Order 00429-001-0001,FALSE,,[DJ151071] Set - Disc Pad [ Ets ],1,15,756.5,9270
,,,,,[DJ191023] Kit - Major : Master Cylinder [ Ets ],1,15,875.5,
,,,,,[36DJ4104] Kit Minor Claiper,1,15,433.5,
,,,,,[JN181001] Windshield,2,15,2635,
,,,,,[36JZ0007] Kit Chain Sprocket,1,15,4564.5,
2021-09-14 12:49:17,මුදල්,Order 00428-002-0016,FALSE,,[DG111008] Plug Spark,2,15,816,820
2021-09-14 12:47:04,මුදල්,Order 00428-002-0015,FALSE,,[AN101257] Guide Chain (Tensioner Side),1,20,560,4300
,,,,,[AN101166] Guide Chain,1,20,216,
,,,,,[36AA4070] Kit 3W Driver Seat Enclosure,1,20,3520,
2021-09-14 12:45:44,මුදල්,Order 00428-002-0014,FALSE,,[DS211006] Lock Assy. Seat,1,15,612,610
2021-09-14 12:45:08,මුදල්,Order 00428-002-0013,FALSE,,[DS201003] Regulator-Ac/Dc,1,15,2465,2470
2021-09-14 12:30:57,මුදල්,Order 00428-002-0011,FALSE,,[30151105] Brake Shoe Assy,1,15,697,700
2021-09-14 12:26:58,මුදල්,Order 00428-002-0010,FALSE,,[6301(NACHi)] NACHi 6301 Bearing,2,0,900,900
2021-09-14 12:22:17,මුදල්,Order 00428-002-0009,FALSE,,[AN101149] Gasket Head,1,15,773.5,770
2021-09-14 12:17:55,මුදල්,Order 00428-002-0008,FALSE,,[36AN0010] Cylinder Block And Piston (3W Re),1,17,8980.6,14290
,,,,,[AN121201] Manifold Intake,1,15,442,
,,,,,[AA101844] Seal Head Cover,1,15,501.5,
,,,,,[36AA4033] Valve Kit- Fl,1,15,2218.5,
,,,,,[AN101421] Rubber Coupling - Cng,1,15,552.5,
,,,,,[AA101013] Block Gasket,1,15,153,
,,,,,[6002(NACHi)] NACHi 6002 Bearing,1,0,430,
,,,,,[6302-2NSE(NACHi)] NACHi 6302 - 2NSE Bearing,1,0,490,
,,,,,[DJ101064(YL)] YL Gasket - Exhaust,1,0,220,
,,,,,[39137704] Bolt,1,15,110.5,
,,,,,[AA101283] Gasket Silenser,1,15,187,
2021-09-14 12:07:27,මුදල්,Order 00428-002-0007,FALSE,,[36BA4039] Kit Pivot Pin With Grease Hole,1,17,2025.2,2030
2021-09-14 12:04:15,මුදල්,Order 00428-002-0006,FALSE,,[500702NAE] Caltex Super - 4T - 20/50 - 1L,2,0,1900,2090
,,,,,[AA121006] Oil Filter Element,1,15,187,
2021-09-14 12:03:00,මුදල්,Order 00428-002-0005,FALSE,,[36JZ0007] Kit Chain Sprocket,1,16,4510.8,4510
2021-09-14 11:58:43,මුදල්,Order 00428-002-0004,FALSE,,[DS101096] Camshaft Cap,1,15,229.5,230
2021-09-14 11:54:12,මුදල්,Order 00428-001-0003,FALSE,,[36JE0012] Kit Cyl Blk Pst Asly Sprint,1,17,9951.7,15650
,,,,,[DK201078] Starter Relay- With Nut,1,17,1560.4,
,,,,,[39201719] Oil Seal Valve,12,17,1992,
,,,,,[DH201080] Sensor Speed-Cable,2,17,2141.4,
2021-09-12 17:17:21,මුදල්,Order 00428-001-0002,"David Peris Motor Company, Mr. Rasika ",,[DJ191008] Cable - Accelerator,4,20,2080,4860
,,,,,[JZ161200] Clutch Cable,3,20,2784,
2021-09-12 17:14:51,මුදල්,Order 00428-001-0001,"David Peris Motor Company, Mr. Roshan",,[36DU4085] Kit Chain Sprocket Ct100Es,1,20,4360,39670
,,,,,[JL181008] Windshield Assembly,1,20,1016,
,,,,,[52JL0937] K4 Ug Side Mask Rh Satin Blk +White Dcal,1,20,1024,
,,,,,[JL402412] Speedometer Assembly,1,20,20616,
,,,,,[JE351206] Cdi D102C,1,20,6216,
,,,,,[JE351232] Cdi Assembly With Damper K16B,1,20,6440,
2021-09-10 16:38:32,මුදල්,Order 00426-004-0013,FALSE,,[31151060] Shoe Brake,1,15,654.5,650
2021-09-10 16:33:22,මුදල්,Order 00426-004-0012,FALSE,,[DK181019] Oil Seal,2,15,1105,1110
2021-09-10 16:26:21,මුදල්,Order 00426-004-0011,FALSE,,[AN101123] Piston Assy With Block-Spares,1,20,8192,9430
,,,,,[39201719] Oil Seal Valve,2,20,320,
,,,,,[28101118] Bush,1,20,128,
,,,,,[AN101012] Gasket - Head,1,20,648,
,,,,,[AA101013] Block Gasket,1,20,144,
2021-09-10 16:19:56,මුදල්,Order 00426-004-0010,FALSE,,[59200012] Bearing : Needdle (Sl 35 20 ),2,15,850,2920
,,,,,[36BA4039] Kit Pivot Pin With Grease Hole,1,15,2074,
2021-09-10 16:18:45,මුදල්,Order 00426-004-0009,FALSE,,[31151060] Shoe Brake,1,15,654.5,650
2021-09-10 16:17:23,මුදල්,Order 00426-004-0008,FALSE,,[36224004] Kit Bush Inner Race- New,2,15,1615,3690
,,,,,[36BA4039] Kit Pivot Pin With Grease Hole,1,15,2074,
2021-09-10 16:04:17,මුදල්,Order 00426-004-0007,FALSE,,[JL181008] Windshield Assembly,1,15,1079.5,1080
2021-09-10 15:56:19,මුදල්,Order 00426-004-0006,FALSE,,[24171076] Axle Boot,2,15,816,820
2021-09-10 15:53:06,මුදල්,Order 00426-004-0005,FALSE,,[59200012] Bearing : Needdle (Sl 35 20 ),2,15,850,4680
,,,,,[AA111153] Plug Spark With Solid Post-Fmg,2,15,816,
,,,,,[24151058] Cable Assembly - Hand Brake Front Side,1,15,943.5,
,,,,,[36BA4039] Kit Pivot Pin With Grease Hole,1,15,2074,
2021-09-10 15:51:15,මුදල්,Order 00426-004-0004,FALSE,,[24171014K] Coupling  Lock Kit,2,15,204,500
,,,,,[RJ0520(VARROC)] Varroc Slider Block Kit,2,0,300,
2021-09-10 15:46:30,මුදල්,Order 00426-004-0003,FALSE,,[DS101360] Cylinder Block Piston Assly,1,15,11262.5,11260
2021-09-10 15:45:52,මුදල්,Order 00426-004-0002,FALSE,,[39201719] Oil Seal Valve,10,15,1700,2690
,,,,,[36311006] Chain Guide Kit (4S),1,15,986,
2021-09-10 15:43:53,මුදල්,Order 00426-004-0001,Administrator,,[BGO10W30C] Bajaj Genuine Oil 10W30 Can 1L,1,0,950,950
2021-09-09 12:43:53,මුදල්,Order 00426-003-0025,FALSE,,[24130105] Bearing Ball [16007] - Differential,2,15,2057,4740
,,,,,[36DS1201] Kit - Vaccum Piston Carburettor,1,15,2686,
2021-09-09 12:39:16,මුදල්,Order 00426-003-0023,FALSE,,[36DU1205] Kit - Carburettor Float Pin,1,0,800,800
2021-09-09 12:31:56,මුදල්,Order 00426-003-0022,FALSE,,[DX101045] Gear Transmission Spur (2 Nd I/P),1,15,1096.5,1100
2021-09-09 12:20:44,මුදල්,Order 00426-003-0021,FALSE,,[JD401004] Indicator Rr Rh-Cl Lens,2,15,2669,14520
,,,,,[36JE0014] Kit Chain Sprocket O Ring Type (Servicable Kit Part Number - 36Je0007),1,15,5941.5,
,,,,,[JD72024M] Pntd Front Fender With Flap - Mid Blk,1,15,4547.5,
,,,,,[JD113032] Assembly Main Step Rh Pulsar Peg,1,15,960.5,
,,,,,[FORK-OIL-350ML(MAX)] Max Fork Oil - 350ml,1,0,400,
2021-09-09 12:11:01,මුදල්,Order 00426-003-0020,FALSE,,[39100820] Bearing Needle [Bk1312],2,20,528,2740
,,,,,[DU101278] Shaft Input Ct100,1,20,2208,
2021-09-09 12:08:47,මුදල්,Order 00426-003-0019,FALSE,,[JL161200] Cable Clutch,1,15,1487.5,1490
2021-09-09 12:06:01,මුදල්,Order 00426-003-0018,FALSE,,[AP121132] Element Airfilter(Twin),1,15,484.5,670
,,,,,[AA121006] Oil Filter Element,1,15,187,
2021-09-09 12:04:33,මුදල්,Order 00426-002-0017,FALSE,,[SA24171006(SA)] SA Propeller Shaft,1,0,750,1790
,,,,,[24171014K] Coupling  Lock Kit,2,15,204,
,,,,,[BF551613] Seal Oil,2,15,646,
,,,,,[AA121006] Oil Filter Element,1,15,187,
2021-09-06 14:55:52,මුදල්,Order 00426-002-0016,FALSE,,[JB531005] Cam Chain (90 Links),1,15,1649,1650
2021-09-06 14:52:48,මුදල්,Order 00426-001-0015,FALSE,,[36JK0031] Kit Block Piston Assly Bm125,1,17,9652.9,32770
,,,,,[36314001K] Steering Cone Kit - Ct / Platina 100,1,15,1130.5,
,,,,,[DZ171016] Rear  Shock Absorber Black Power Coated,2,17,10059.6,
,,,,,[DU201101] Lamp - Head Assly [ Thl ],1,15,4207.5,
,,,,,[DZ191014] Cable - Speedometer Without Bent Tube,1,15,697,
,,,,,[DZ181004] Lock Set (3 In 1) - Ve,1,15,3731.5,
,,,,,[JA511006] Gasket Cylinder Head,1,15,646,
,,,,,[JK401008] Rr Rh Blinker Amber Lens 2P Cplr,1,15,960.5,
,,,,,[JK401009] Fr Lh Blinker Amber Lens 2P Cplr,1,15,909.5,
,,,,,[JA521002] Guide Camchain (Tight Side),1,15,93.5,
,,,,,[DJ181087] Oil Seal [ Fork ],2,15,680,
2021-09-06 14:26:09,මුදල්,Order 00426-001-0014,FALSE,,[31101020] Arm-Rocker,2,15,1173,4980
,,,,,[DD101063] Cam Shaft Assy *,1,15,3808,
2021-09-06 14:23:48,මුදල්,Order 00426-001-0007,"David Peris Motor Company, Mr. Rasika ",,[JF161202] Cable Throtle (K11),1,20,808,810
2021-09-06 14:00:10,මුදල්,Order 00426-001-0006,FALSE,,[JA151013] Fork Inner Tube Xcd 125,2,15,8313,9060
,,,,,[DL181080] Seal Oil-Fork,2,15,748,
2021-09-06 13:53:56,මුදල්,Order 00426-001-0005,FALSE,,[DH171013] Collar - Swing Arm,2,15,731,1110
,,,,,[DH171014] Bush - Swing Arm,4,15,374,
2021-09-06 13:38:16,මුදල්,Order 00426-001-0004,FALSE,,[DS101251] Lever Comp.Change With Damper,1,15,918,920
2021-09-06 13:18:17,මුදල්,Order 00426-001-0002,FALSE,,[DS101319] Clutch Centre,0,15,0,2810
,,,,,[DS191013] Cable - Choke,1,15,408,
,,,,,[DH101344] Plate Clutch Pressure,1,15,0,
,,,,,[6004(NACHi)] NACHi 6004 Bearing,2,10,990,
,,,,,[SADJ181044(SA)] SA Fork Boot,1,0,450,
,,,,,[DH101344] Plate Clutch Pressure,1,15,960.5,
2021-08-20 18:04:18,මුදල්,Order 00425-001-0070,FALSE,,[36DH4041] Kit Plate Friction Dis 135,1,15,1819,2370
,,,,,[DJ191008] Cable - Accelerator,1,15,552.5,
2021-08-20 18:02:14,මුදල්,Order 00425-001-0069,FALSE,,[94WCC11900041] DOT 3 Brake Oil - 100ml,1,0,180,180
2021-08-20 18:01:16,මුදල්,Order 00425-001-0067,FALSE,,[AB151074] Kit - Minor T.M.Cyl.,1,13,574.2,570
2021-08-20 17:56:02,මුදල්,Order 00424-001-0072,FALSE,,[36AA1004] Oil Seal Kit [3W-4S],1,0,800,30350
,,,,,[AB101067] Cross,1,16,1167.6,
,,,,,[AA101033] Crank Shaft Assly,1,17,9727.6,
,,,,,[28101110] Damper Spring,1,15,263.5,
,,,,,[13101024] Rocker Arm Shaft,1,15,127.5,
,,,,,[AA101210] Plate Friction,7,16,2175.6,
,,,,,[AA101472] Plate Clutch,6,15,969,
,,,,,[AA101364] Spring - Clutch,6,0,300,
,,,,,[28101118] Bush,1,15,136,
,,,,,[AA101588] Gear Multiple,1,17,2755.6,
,,,,,[AA101392] Multiple Gear Shaft,1,16,2788.8,
,,,,,[AA101057] Idler Gear,1,17,4598.2,
,,,,,[6004(NACHi)] NACHi 6004 Bearing,1,0,550,
,,,,,[6305(NACHi)] NACHi 6305 Bearing,1,0,650,
,,,,,[39252820] Bearing-Needle Rollor:14*20*16,1,15,280.5,
,,,,,[AA101058] Trust Washer (Idler Gear),2,0,180,
,,,,,[AA101143] Rubber Pad,1,15,102,
,,,,,[36AA4021] Kit Chain Tensioner Spring Gasket Type,1,16,1167.6,
,,,,,[AA121006] Oil Filter Element,1,15,187,
,,,,,[SHELLAC-GLUE] Shellac Glue,1,0,300,
,,,,,[SUPER-GLUE] Super Glue,1,0,50,
,,,,,[SA24170427(SA)] SA Coupling Rubber - Small,4,0,40,
,,,,,[SVA0024(SA)] SA Coupling Rubber - Large (Blue Colour),4,0,80,
,,,,,[AA101054(YL)] YL Guide Stem,1,0,400,
,,,,,[AA101328] Gasket - Crank Case,1,15,552.5,
2021-08-20 17:46:11,මුදල්,Order 00425-001-0066,FALSE,,[DJ201176] Headlamp Assly Without Bulb,1,16,6283.2,12450
,,,,,[CL201023] Bulb - Head Lamp 12V-35/35W-Hs1,1,15,476,
,,,,,[DJ181119] Speedometer Cover Fairing Ug3,1,15,1921,
,,,,,[56DH046D] Fairing(Dj181117) Charcoal Black,1,10,3771,
2021-08-20 17:30:07,මුදල්,Order 00425-001-0065,FALSE,,[36AA4058] Wind Shield Refl Ed Coated (52240645),1,12.2,13499.25,13500
2021-08-20 17:22:15,මුදල්,Order 00425-001-0064,FALSE,,[790920121274] ABRO 999 Gasket Marker - Grey,1,0,470,470
2021-08-20 17:19:48,මුදල්,Order 00425-001-0062,FALSE,,[AA191073] Cable Compl Accelerator,1,15,943.5,940
2021-08-20 17:18:15,මුදල්,Order 00425-001-0061,FALSE,,[36JW0014] Kit Starter Clutch Repair Xcd 135 Cc,1,15,561,1530
,,,,,[36JE0003] Kit Chain Guide Sprint,1,15,629,
,,,,,[30101142] Oil Seal [ Kick ],1,15,93.5,
,,,,,[39219019] Oil Seal [ Gear Shaft Inner ],1,15,119,
,,,,,[39171519] Oil Seal [ Magento ],1,0,130,
2021-08-20 17:16:19,මුදල්,Order 00424-001-0071,FALSE,,[BGO20W50C] Bajaj Genuine Oil 20W 50 Can 1L,1,9,900.9,900
2021-08-20 17:08:27,මුදල්,Order 00424-001-0070,FALSE,,[DX101053(YL)] YL Body Centrifugal Oil Filter,1,0,2300,2300
2021-08-20 17:08:10,මුදල්,Order 00424-001-0068,FALSE,,[36241010] Kit Oil Seal Re-5P,1,15,739.5,12090
,,,,,[36222246] Spring Plate Set,1,15,161.5,
,,,,,[05101018] Bearing Needle [Nb125J815/C5] - Crankshaft,1,15,1096.5,
,,,,,[03100338] Bearing Ball [1838001/C3] - Crankshaft,1,15,773.5,
,,,,,[35101059] Flat Cross-5P,1,15,1691.5,
,,,,,[15101122] Gasket,1,15,204,
,,,,,[GK36AE00(SA)] SA Set - Gasket [5P] - 3W / RE,1,0,160,
,,,,,[SA06101007(SA)] SA Starter Gear,1,0,495,
,,,,,[GKAE1002(SA)] SA Gasket - Exhaust,1,0,30,
,,,,,[CD101082] Crank Shaft Assy,1,16,6736.8,
2021-08-20 17:06:42,මුදල්,Order 00425-001-0060,FALSE,,[52DU0104] Lever Comp. Change Shaft Sub Assly.,1,15,1717,1720
2021-08-20 17:02:47,මුදල්,Order 00425-001-0059,FALSE,,[39103519] Oil Seal Valve,2,15,306,310
2021-08-20 17:00:20,මුදල්,Order 00424-001-0067,FALSE,,[03100621] Roller Bearing 4Th Group,1,15,153,6810
,,,,,[TOP-KIT-5P-3W(CHANGE)] Change Top Kit - 5P - 3W,1,0,100,
,,,,,[15101122] Gasket,1,15,204,
,,,,,[CD101008(YL)] YL Cyl. Block Piston[5P],1,0,6350,
2021-08-20 16:58:19,මුදල්,Order 00424-001-0064,FALSE,,[36DU4026] Kit Connecting Rod Ct100,1,17.6,3114.72,26860
,,,,,[36311028] Valve Kit Caliber,1,14,1745.8,
,,,,,[39240320] Bearing Ball [628],1,15,467.5,
,,,,,[DU101056] Sprocket - Cam Driven [28T],1,15,221,
,,,,,[39104319] Oil Seal [ Gear Shaft Inner ],1,15,119,
,,,,,[30101142] Oil Seal [ Kick ],1,15,93.5,
,,,,,[39104219] Oil Seal [ Magneto ],1,15,144.5,
,,,,,[39108019] Oil Seal [ F / Sprocket ],1,15,102,
,,,,,[39100820] Bearing Needle [Bk1312],1,15,280.5,
,,,,,[DU101278] Shaft Input Ct100,1,15,2346,
,,,,,[DD111018] Spark Plug,2,15,731,
,,,,,[36311006] Chain Guide Kit (4S),1,15,986,
,,,,,[DM101139] Gasket (Gen. Cover),1,15,187,
,,,,,[DM101140] Gasket (Clutch),1,15,340,
,,,,,[6201(NACHi)] NACHi 6201 Bearing,2,0,840,
,,,,,[6203(NACHi)] NACHi 6203 Bearing,2,0,860,
,,,,,[6003(NACHi)] NACHi 6003 Bearing,2,0,900,
,,,,,[790920121274] ABRO 999 Gasket Marker - Grey,1,0,470,
,,,,,[DU101218KA] Cylinder Block Piston Kit,1,15,6349.5,
,,,,,[DZ181004] Lock Set (3 In 1) - Ve,1,15,3731.5,
,,,,,[31101033] Chain-Timing,1,15,960.5,
,,,,,[39103519] Oil Seal Valve,2,15,306,
,,,,,[36DU1001] Kit - O'Ring Cylinder Head,1,15,467.5,
,,,,,[6304(NACHi)] NACHi 6304 Bearing,2,0,1100,
2021-08-20 16:45:13,මුදල්,Order 00424-001-0065,FALSE,,[DU101218KA] Cylinder Block Piston Kit,1,15,6349.5,6350
2021-08-20 16:44:41,මුදල්,Order 00424-001-0063,FALSE,,[36PA0042] Kit Chain Sprocket Disco M Fx,1,14.7,3949.39,3950
2021-08-20 16:43:00,මුදල්,Order 00424-001-0061,FALSE,,[36AA1003] Kit Gasket Re 4S,1,15,1436.5,3310
,,,,,[AA101328] Gasket - Crank Case,1,15,552.5,
,,,,,[36AA1004] Oil Seal Kit [3W-4S],1,0,800,
,,,,,[790920121274] ABRO 999 Gasket Marker - Grey,1,0,470,
,,,,,[SUPER-GLUE] Super Glue,1,0,50,
2021-08-20 16:41:25,මුදල්,Order 00424-001-0062,FALSE,,[BGO20W50C] Bajaj Genuine Oil 20W 50 Can 1L,1,9,900.9,900
2021-08-20 16:39:50,මුදල්,Order 00425-001-0058,FALSE,,[36AA4055] Assembly Windshield- Ed Coated (52Al0278),1,0,11000,62260
,,,,,[AA231255] Glass Green Windshld Single Pc,1,0,15500,
,,,,,[AN101033] Crankcase - Magneto Side,1,0,15000,
,,,,,[36AA4042] Kit_ Packing Set Re 205,1,17,2415.3,
,,,,,[36AA4041] Kit_ Oil Seal Re 4S Fl,1,15,1317.5,
,,,,,[28101110] Damper Spring,1,15,263.5,
,,,,,[6305(NACHi)] NACHi 6305 Bearing,1,0,650,
,,,,,[6004(NACHi)] NACHi 6004 Bearing,1,0,550,
,,,,,[39143520] Bearing Needle [Hk1616],1,15,255,
,,,,,[AA101708] Needle Roller Bearing 14X22X16,1,15,841.5,
,,,,,[03100335] Bearing Needle [Sce188] - Mainshaft,1,15,297.5,
,,,,,[6204(NACHi)] NACHi 6204 Bearing,1,0,520,
,,,,,[59200012] Bearing : Needdle (Sl 35 20 ),1,15,425,
,,,,,[22171007] Grease Seal [ R / Hub ],1,15,153,
,,,,,[24171024(YL)] YL Grease Seal [ R / Hub ],1,0,130,
,,,,,[SVA0013] Side Mirror Set (Aa221005),1,15,374,
,,,,,[24171179] Assembly Trailing Arm Lh Fl,1,16,11852.4,
,,,,,[RJ0520(VARROC)] Varroc Slider Block Kit,2,0,300,
,,,,,[SA24170427(SA)] SA Coupling Rubber - Small,4,0,40,
,,,,,[SVA0024(SA)] SA Coupling Rubber - Large (Blue Colour),4,0,80,
,,,,,[SHELLAC-GLUE] Shellac Glue,1,0,300,
2021-08-20 16:21:11,මුදල්,Order 00425-001-0057,Lankika Tradding,,[DU101190] Assembly Rocker Arm Roller,2,17,3652,4250
,,,,,[SUPER-GLUE] Super Glue,12,0,600,
2021-08-20 16:19:32,මුදල්,Order 00425-001-0056,FALSE,,[DH111034] Brush Box Assly Kit,1,15,739.5,740
2021-08-20 16:12:58,මුදල්,Order 00425-001-0055,FALSE,,[DJ151071] Set - Disc Pad [ Ets ],1,15,756.5,760
2021-08-20 15:53:42,මුදල්,Order 00425-001-0051,FALSE,,[39104319] Oil Seal [ Gear Shaft Inner ],1,15,119,10800
,,,,,[30101142] Oil Seal [ Kick ],1,15,93.5,
,,,,,[39108019] Oil Seal [ F / Sprocket ],1,15,102,
,,,,,[39104219] Oil Seal [ Magneto ],1,15,144.5,
,,,,,[DU101218KA] Cylinder Block Piston Kit,1,15,6349.5,
,,,,,[31101033] Chain-Timing,1,15,960.5,
,,,,,[36311006] Chain Guide Kit (4S),1,15,935,
,,,,,[36DU1503] Kit - Speedometer Gear,1,15,391,
,,,,,[DD111018] Spark Plug,1,15,365.5,
,,,,,[DD111048] Cap-Spark Plug -Resistive,1,0,400,
,,,,,[31121029] Filter Element-Air,1,15,408,
,,,,,[DM101139] Gasket (Gen. Cover),1,15,187,
,,,,,[DM101140] Gasket (Clutch),1,15,340,
2021-08-20 15:52:44,මුදල්,Order 00424-001-0060,Lankika Tradding,,[36JC0003] Kit Hardware Rod Brake ( New ),1,15,153,1870
,,,,,[JA511012] O-Ring Head Cover,1,17,937.9,
,,,,,[JA551415] Hub Clutch,1,15,782,
2021-08-20 15:48:11,මුදල්,Order 00425-001-0053,FALSE,,[BF152032] Assembly Outer Ball Joint,1,15,3315,3320
2021-08-20 15:44:59,මුදල්,Order 00425-001-0052,FALSE,,[AA111058] Plug - Spark : - Wr7Bc4,1,15,340,340
2021-08-20 15:41:35,මුදල්,Order 00424-001-0059,FALSE,,[AA101446] Block-Cylinder & Piston Assembly:Spare,1,0,6800,7360
,,,,,[AA101162] Head Gasket,1,15,408,
,,,,,[AA101013] Block Gasket,1,15,153,
2021-08-20 15:21:56,මුදල්,Order 00425-001-0050,FALSE,,[36DK0020] Kit Outer Tube,1,15,960.5,960
2021-08-20 15:04:18,මුදල්,Order 00425-001-0049,FALSE,,[24121070] Needle Valve,1,15,790.5,1160
,,,,,[24121079] Float  Assy,1,15,374,
2021-08-20 14:45:17,මුදල්,Order 00424-001-0058,FALSE,,[AA101692] Cover Fan,1,15,1113.5,1880
,,,,,[AA101512] Cowling Complete - Internal,1,15,765,
2021-08-20 14:42:07,මුදල්,Order 00425-001-0048,FALSE,,[30151105] Brake Shoe Assy,1,15,697,4900
,,,,,[36JZ0007] Kit Chain Sprocket,1,0,4200,
2021-08-20 14:38:23,මුදල්,Order 00424-001-0057,FALSE,,[DJ201102] Regulator Assembly,1,15,2796.5,2800
2021-08-20 14:33:27,මුදල්,Order 00425-001-0047,FALSE,,[AA111085] Brush Box Asly Kit 3W 48 Dia,1,16,1302,1300
2021-08-20 14:30:08,මුදල්,Order 00424-001-0056,FALSE,,[31121029] Filter Element-Air,1,15,408,2910
,,,,,[AB171044] Shockabsorber Assembly Complete-Front,1,16,2503.2,
